title,abstract,URLs,venue,date
Distributed Adaptive Event-Triggered Control of Connected Automated Vehicle Platoon Systems With Spoofing Cyber Attacks,"Due to the utilization of Cellular Vehicle-to-Everything (C-V2X) wireless communication network, the communication process of connected automated vehicle platoon systems is susceptible to external malicious attacks. This paper proposes an effective distributed control framework for connected automated vehicle platoon systems in the presence of spoofing cyber attacks. Firstly, Bernoulli random variables are utilized to model the random nature of spoofing attacks within the platoon systems, and an adaptive event-based communication strategy is adopted to optimize network resource utilization and prevent redundant information transmission. Secondly, a distributed state-feedback controller is designed, leveraging both the adaptive event-triggered approach and the linear matrix inequality (LMI) approach, considering the influence of random and energy-limited spoofing attacks. Thirdly, through the application of the Lyapunov stability theory, the system with the platooning controller, despite the presence of spoofing cyber attacks, is proved to be asymptotically stable. Finally, numerical examples are presented to demonstrate the feasibility and effectiveness of the proposed controller.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10630698,IEEE Transactions on Vehicular Technology,2024-01-01
Worst Perception Scenario Search via Recurrent Neural Controller and K-Reciprocal Re-Ranking,"Achieving excellent generalization on perceiving real traffic scenarios with diversity is the long-term goal for building robust autonomous driving systems. A recent theoretical study shows that the generalization on the worst-group of test samples is far more difficult than others. Therefore, we propose to discover potential shortness of certain perception module by analyzing its worst-scenario performance. However, with the benchmark datasets growing huge and tremendous, exhaustive searching for the worst perception scenario (WPS) seems to be time consuming and unnecessary. To address this, we present an automatic searching scheme empowered by reinforcement learning. In this case, worst scenario mining is formulated as the discrete search on the Visual Operation Design Domain (ODD), namely scenario representation, by optimizing LSTM-RNN controller with the worst-performance reward. Moreover, a time-efficient K-reciprocal re-ranking technique is utilized to match the predicted scenario parameters with existing test data. The proposed method has been validated by finding the most challenging scenarios for various vehicle detectors on KITTI, BDD100k and our own benchmark set EVB. Furthermore, searching performances w.r.t different Visual ODDs are investigated and it is found that visual representations through generative adversarial network contribute to a better performance.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10367809,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Underwater Motion Deblurring Based on Cascaded Attention Mechanism,"The images captured in the underwater scene frequently suffer from blur effects due to the insufficient light and the relative motion between the captured scenes and the imaging system, which severely hinders the visual-based exploration and investigation of the ocean. In this article, we propose a feature pyramid attention network (FPAN) to remove the motion blur and restore the blurry underwater images. FPAN incorporates the cascaded attention modules into the feature pyramid network, enabling it to learn more discriminative information. To facilitate the training of FPAN, we construct a weighted loss function, which consists of a content loss, an adversarial loss, and a perceptual loss. The cascaded attention module and the weighted loss function enable our proposed FPAN to generate more realistic high-quality images from the blurry underwater images. In addition, to deal with the lack of publicly available datasets in underwater image deblurring, we built two specific underwater deblurring datasets, namely Underwater Convolutional Deblurring Dataset and Underwater Multiframe Averaging Deblurring Dataset, to train and examine different deep learning-based networks. Finally, we conduct sea trial experiments on our autonomous underwater vehicle. Experimental results on two underwater deblurring datasets demonstrate that our proposed method achieves satisfactory results, which validates the potential practical values of our proposed method in real-world applications.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85131572785&origin=inward,IEEE Journal of Oceanic Engineering,2024-01-01
Sonar Image Generation by MFA-CycleGAN for Boosting Underwater Object Detection of AUVs,"Acquiring large amounts of high-quality real sonar data for object detection of autonomous underwater vehicles (AUVs) is challenging. Synthetic data can be an alternative, but it is hard to generate diverse data using traditional generative models when real data are limited. This study proposes a novel style transfer method, i.e., the multigranular feature alignment cycle-consistent generative adversarial network (CycleGAN), to generate sonar images leveraging remote sensing images, which can alleviate the dependence on real sonar data. Specifically, we add a spatial attention-based feature aggregation module to preserve unique features by attending to instance parts of an image. A pair of cross-domain discriminators are designed to guide generators to produce images that capture sonar styles. We also introduce a novel cycle consistency loss based on the discrete cosine transform of images, which better utilizes features that are evident in the frequency domain. Extensive experimental results show that the generated sonar images have better quality than CycleGAN, with improvements of 15.2% in IS, 56.9% in FID, 42.6% in KID, and 7.6% in learned perceptual image patch similarity, respectively. Moreover, after expanding the real sonar dataset with generated data, the average accuracy of the object detector, e.g., YOLOv6, has increased by more than 48.7%, indicating the effectiveness of the generated sonar data by our method.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10472044,IEEE Journal of Oceanic Engineering,2024-01-01
Finite-Time Security Control of Networked Unmanned Marine Vehicle Systems Subject to DoS Attack,"The finite-time dynamic positioning controller design problem of the unmanned marine vehicle (UMV) system under switching DoS attacks is investigated. Firstly, an adaptive memory-based event-triggering communication mechanism (METCM) is designed to save networked resources in maritime environment. Second, the signals released by the communication mechanism are quantized to further reduce the bandwidth of the communication network. In addition, since adversary may have multiple attack strategies, thus a hierarchical semi-Markov process (HS-MP) is presented to capture the phenomenon of switching DoS attacks, which makes the attack model more realistic. Further, sufficient conditions are proposed for the finite-time boundedness (FTB) of the UMV system and some linear matrix inequalities are solved to determine the finite-time bounded controller gain. Finally, the effectiveness of the proposed control method is demonstrated by a simulation example.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10381861,IEEE Transactions on Intelligent Vehicles,2024-01-01
Edge-Based Event-Triggered Platooning Control of Heterogeneous Connected Automated Vehicles Under Replay Attacks,"This paper investigates the problem of secure platooning control of heterogeneous connected automated vehicles under replay attacks. An edge-based dynamic event-triggered mechanism (DETM) is developed to relieve the vehicle-to-vehicle communication burden among the connected platoon. Different from the widely used constant time headway policies, a refined constant time headway (RCTH) policy that leverages the relative velocity between adjacent vehicles is adopted to enhance platooning safety while preserving traffic efficiency. To deal with the discrepancy of vehicle dynamic parameters, heterogeneity compensators are developed for each platoon member to estimate the platoon leader's state. By virtue of the switching system theory, the desired parameters of heterogeneity compensators are designed and the tolerable condition of replay attacks is also established. Furthermore, sufficient design criteria are derived to obtain the local compensator-based controller gains under the proposed edge-based DETM and RCTH policy. It is further proved that Zeno freeness of the proposed edge-based DETMs is excluded. Finally, co-simulations of Matlab/Simulink and CarSim are carried out to verify the efficacy of the derived results.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10577479,IEEE Transactions on Vehicular Technology,2024-01-01
A Multilevel Electronic Control Unit Re-Encryption Scheme for Autonomous Vehicles,"Electronic control units (ECUs) connected by a controller area network (CAN) are used to perform various functions in modern vehicles. In the latest autonomous vehicles, redundant ECUs and a backup bus (different from CAN) are always equipped to prevent a single point of failure or network attack. However, due to the lack of protection measures of CAN bus, attackers can remotely intrude into the vehicle. Many schemes have proposed to use encryption to solve the security problem of CAN bus. Considering the current ECU storage space is limited, it is impossible to store all ECUs’ keys. When a single point of failure or network attack against an ECU occurs, it is necessary for the backup ECU to process the messages related to the failed ECU. How to ensure that the backup ECU can decrypt the encrypted messages and at the same time securely isolates the backbone network from the backup network is an urgent issue to be solved. In order to solve the problem of forwarding and processing such messages under encryption conditions, we propose an efficient re-encryption scheme based on proxy re-encryption. The scheme is also suitable for cross-bus communication without backup networks. Burrows-Abadi-Needham (BAN) logic, random oracle model and Automated Validation of Internet Security Protocols and Applications (AVISPA) tool are utilized to prove that the scheme is secure. The scheme is simulated based on the MIRACL cryptography library on the computer and Raspberry Pi. The simulation results demonstrate that the proposed scheme is secure compared with the existing scheme.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171802651&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
liteGAP: Lightweight Group Authentication Protocol for Internet of Drones Systems,"Over the past few years, the synergic usage of unmanned aerial vehicles (later drones) and Internet of Things (IoT) has successfully transformed into the Internet of Drones (IoD) paradigm, where the data of interest is gathered and delivered to the Zone Service Provider (ZSP) by drones for substantial additional analysis. Considering the sensitivity of collected information and the impact of information disclosure, information privacy and security issues should be resolved properly so that the maximum potential of IoD can be realized in the increasingly complex cyber threat environment. Ideally, an authentication and key agreement protocol can be adopted to establish secure communications between drones and the ZSP in an insecure environment. Nevertheless, a large group of drones authenticating with the ZSP simultaneously will lead to a severe authentication signaling congestion, which inevitably degrades the quality of service (QoS) of IoD systems. To properly address the above-mentioned issues, a lightweight group authentication protocol, called liteGAP, is proposed in this paper. liteGAP can achieve the authenticated key establishment between a group of drones and the ZSP concurrently in the IoD environment using lightweight operations such as hash function, bitwise XOR, and physical unclonable function (PUF). We verify liteGAP using AVISPA (a tool for the automatic verification of security protocols) and conduct formal and informal security analysis, proving that liteGAP meets all pre-defined security requirements and withstand various potential cyber attacks. Moreover, we develop an experimental framework and conduct extensive experiments on liteGAP and two benchmark schemes (e.g., GASE and rampIoD). Experimental findings show that liteGAP outperforms its counterparts in terms of computational cost as well as communication overhead.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10325618,IEEE Transactions on Vehicular Technology,2024-01-01
Zero-Sum-Game-Based Distributed Fuzzy Adaptive Self-Triggered Control of Swarm UAVs Under Intermittent Communication and DoS Attacks,"This article addresses the distributed zero-sum differential game adaptive control problem of six-rotor unmanned aerial vehicles under denial-of-service attacks based on the self-triggered mechanism. First, a fuzzy-logic-system-based identifier-critic framework is structured to obtain the alternative approximate solution with fewer learning parameters. Then, a novel optimal value function, considering the optimal control signal, worst disturbance signal, steady-state, and dynamic performances, is designed. Subsequently, an improved self-triggered strategy, featuring negative feedback adjustment between the threshold and system consensus error, is proposed to reduce the communication resource loss and decrease the influence of introducing the self-triggered mechanism on the system performance. Unlike the event-triggered strategy, the next trigger moment of the self-triggered strategy is determined by the current information, eliminating the need for continuous monitoring of the trigger state, which is more convenient for the physical implementation. Moreover, the connectivity-broken denial-of-service attacks on the information transmission process among unmanned aerial vehicles are considered. Next, through the transformation between stabilization control and cooperative control, the difficulty of realizing cooperative control caused by the temporarily disrupted topological relationships due to denial-of-service attacks is solved effectively. Using Lyapunov stability theory, it is proved that all signals of six-rotor unmanned aerial vehicles are bounded, and the consensus control performance is achieved. Finally, the rationality of the designed zero-sum differential game adaptive control scheme is verified by some simulation results.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10587057,IEEE Transactions on Fuzzy Systems,2024-01-01
Quantitative Estimation of Driver Cognitive Workload: A Dual-Stage Learning Approach,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205029905&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Resilient Distributed Fixed-Time Tracking of Heterogeneous UAVs-UGVs Systems Against DoS Attacks,"The fixed-time cooperative control is investigated for heterogeneous multiagent systems (HMASs) containing multiple unmanned aerial vehicles (UAVs) and unmanned ground vehicles (UGVs) under Denial of Service (DoS) attacks and external perturbations. First, for the ease of collaborative tasks, an unified model is obtained in the XY plane by transforming the dynamical models of UAVs and UGVs. Then, a fuzzy switching observer is designed to achieve unavailable state estimation during the attack zone. In particular, in virtue of the character of DoS attacks, a novel fixed-time stability theory is set up. On this foundation, a distributed fixed-time secure tracking control strategy is raised by utilizing the adaptive approach to effectively defend against DoS attacks. Notably, distinct from the existing works on finite-time stability for HMASs, the present method exhibits some brilliant features, such as fast response, high accuracy, and attack resistance. Additionally, rational proofs have substantiated that the designed control scheme can not only ensure the boundedness of each closed-loop signal but also guarantee the synchronization error converges to a predefined small neighborhood near the origin in a fixed time. Ultimately, the validity of the proposed method is demonstrated by a representative simulation.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10571363,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2024-01-01
A PUF and Fuzzy Extractor-Based UAV-Ground Station and UAV-UAV Authentication Mechanism With Intelligent Adaptation of Secure Sessions,"It is crucial that communication between an unmanned aerial vehicle (UAV) and the ground station (GS) be secure, and both devices should mutually authenticate each other to ensure that an adversary cannot obtain communicated information. Moreover, dynamically adapting the session time of an authenticated session can decrease the idle time of a session and consequently reduce the window of opportunity for an adversary to interfere with the communication link. In light of these considerations, we design a physically unclonable function (PUF) and fuzzy extractor-based UAV-GS authentication mechanism called UAV Authentication with Adaptive Session (UAAS). In UAAS, both UAV-GS and UAV-UAV authentication are two-way. We use a Thompson Sampling (TS)-based approach to intelligently adapt the duration of a session. Both formal and informal security proofs are presented along with a computation and communication cost analysis to analyze the performance of UAAS. It is noted that UAAS is secure against various well-known attacks and has a lower communication cost than several baseline mechanisms. Due to the noise reduction that occurs in PUFs, the computational cost of UAAS is higher than that of baselines that ignore noise. Also, our simulation shows that UAAS significantly outperforms baselines when it comes to network performance.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10146461,IEEE Transactions on Mobile Computing,2024-01-01
Improving Transferable Targeted Adversarial Attack for Object Detection Using RCEN Framework and Logit Loss Optimization,"Object detection finds wide application in various sectors, including autonomous driving, industry, and healthcare. Recent studies have highlighted the vulnerability of object detection models built using deep neural networks... | Find, read and cite all the research you need on Tech Science Press",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85203861633&origin=inward,"Computers, Materials and Continua",2024-01-01
Provably and Physically Secure UAV-Assisted Authentication Protocol for IoT Devices in Unattended Settings,"As the core subject of IoT applications, IoT devices have faced numerous security challenges. Especially for IoT devices deployed in remote or harsh environments, they are often unattended for long periods, making it difficult to share the sensing data and susceptible to potential physical attacks. While aerial assistance methods represented by unmanned aerial vehicles (UAVs) can solve the problem of data sharing at a low cost, it is necessary to establish a secure channel between ground control stations, UAVs, and IoT devices due to the sensitivity of the sensing data. Recently, Physical Unclonable Function (PUF) has been proven to provide unique identity identification for devices using its tamper-proof feature. In this paper, we propose a lightweight UAV-assisted authentication and key agreement protocol for unattended IoT devices, ensuring secure communication and physical tamper-proof requirements. However, our work does not stop there. We noticed that some existing PUF-based authentication schemes misunderstand the ability of PUF, which leads to these schemes cannot actually provide physical protection. We analyzed the security vulnerabilities of these schemes and proposed rules that should be followed when designing authentication protocols using PUF. In addition, for the first time, we put forward the formal definitions and proof methods for PUF in the formal proof of the security protocol, which avoided the unreasonable initial assumptions adopted in the proof of the existing schemes. We extended Mao-Boyd (MB) logic and comprehensively analyzed the proposed protocol. We also evaluate the performance of the proposed scheme, and the results show that the proposed scheme has certain advantages in communication and computation overhead compared with existing schemes.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10476492,IEEE Transactions on Information Forensics and Security,2024-01-01
Sociality Probe: Game-Theoretic Inverse Reinforcement Learning for Modeling and Quantifying Social Patterns in Driving Interaction,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205259058&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Exploring the Intersection between Neural Architecture Search and Continual Learning,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85205231255&origin=inward,IEEE Transactions on Neural Networks and Learning Systems,2024-01-01
Secure Event-Triggered Sliding Control for Path Following of Autonomous Vehicles Under Sensor and Actuator Attacks,"Sensor and actuator attacks, which propagate the injected false data through CAN bus, make real threats to the security of the control of autonomous vehicles. This article attempts to solve the secure event-triggered path following control problem of autonomous vehicles subject to both sensor and actuator attacks. Firstly, a more general physical security model is established to characterize the impacts of sensor and actuator attacks on measurements and control actions. Then, feedback linearization method based on Lie derivative is exploited to linearize the established nonlinear attacked model. Thus, the nonlinear path following control is transformed into a linear case which will facilitate to the following networked-based analysis and design. Based on the established secure model, the event-triggered control scheme is utilized to alleviate communication burden under sampled-data control framework. Furthermore, the sliding control design is augmented to mitigate the malicious impacts caused by such false data injection attacks due to its inherent robustness to abnormal attack signal. Remarkably, the proposed secure sliding control can be plugged into the original control scheme rather than changing its existing control structure. Criteria for formal stability analysis and controller design are also provided and expressed in terms of some numerically tractable linear matrix inequalities. Finally, both simulation and experimental verification cases are shown to verify the composite control scheme.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10130649,IEEE Transactions on Intelligent Vehicles,2024-01-01
"A Survey on Recent Advancements in Autonomous Driving Using Deep Reinforcement Learning: Applications, Challenges, and Solutions",,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204996437&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Imagination-Augmented Hierarchical Reinforcement Learning for Safe and Interactive Autonomous Driving in Urban Environments,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204943863&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Time-Series Anomaly Detection in Automated Vehicles Using D-CNN-LSTM Autoencoder,"It is reasonable to expect Connected and Automated Vehicles (CAVs) to revolutionize the intelligent world owing to the swapping of seamless and real-time data. Although CAVs provide many benefits to the environment and society, new challenges in term of security, privacy, and safety are emerged by anomalies, errors, cyber-security attacks, or malicious activities that led to accidents with fatal victims. This paper tackles the anomaly detection problem by introducing a novel framework in multi-sensor CAVs, which applies an efficient data preprocessing and deep learning method. In this paper, two preprocessing methods have been used and compared in the deep learning based models. The main contributions of this paper compared to previous works include two fundamental tasks. First, the quality of time series data is improved in the preprocessing phase by Differencing (DIFF) or Moving Standard Deviation (MSD). Second, the applied deep learning method is based on an autoencoder where a combination of Convolutional Neural Network (CNN) and Long Short-Term Memory (LSTM) is utilized as the autoencoder architecture, which is referred to as D-CNN-LSTM Autoencoder in this paper. The D-CNN-LSTM Autoencoder method optimizes the anomaly detection rate for all of the anomalies, specifically in the case of low magnitude anomalies, enhancing F1-score up to 18.12% in single types of anomalies and 32.83% in mixed types of anomalies. The experimental results indicate the superiority of the proposed method for time series anomaly detection over the state-of-the-art and benchmark methods.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189551719&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Fusion-Based Event-Triggered H∞ State Estimation of Networked Autonomous Surface Vehicles With Measurement Outliers and Cyber-Attacks,"This paper investigates the fusion-based event-triggered  $H_{\infty} $  state estimation of autonomous surface vehicles (ASVs) against measurement outliers and cyber-attacks. To release communication burden, a novel fusion-based event-triggered mechanism (FETM) dependent on the fusion of historical system outputs is proposed. There exist two advantages of this mechanism: 1) the use of fusion signal is able to avoid the information loss between two sampling instants and reduce the redundant triggering events resulted from system disturbances and noises; 2) by requiring the error signal in the triggering condition not only lager than a lower threshold but also less than an upper threshold, the false triggering events incurred by measurement outliers also can be discarded. Then, a time-varying delay system is established to represent the event-triggered  $H_{\infty} $  state estimation error system with network-induced delays. Then, sufficient conditions are deduced for solving  $H_{\infty }$  estimator gain and triggering matrix of FETM. Lastly, some simulation results are given to illustrate the merits of the theoretical method.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182953864&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Linear Stability of Heterogeneous Traffic Flow Incorporating V2X Communication and Intraplatoon Spatial Distribution,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204152101&origin=inward,IEEE Internet of Things Journal,2024-01-01
Distributed Fault-Tolerant Consensus Control of Vehicle Platoon Systems With DoS Attacks,"Vehicle platoon systems are regarded as autonomous vehicles in the platooning pattern, in which vehicles drive in sequence and maintain the desired inter-vehicle spacing. This paper investigates the platoon control problem of vehicle platoon dynamics under cyber-physical threats through the distributed fault-tolerant consensus control protocol. Complicated sensor and actuator faults in the physical layer and aperiodic denial-of-service (DoS) attacks in the cyber layer are modeled, respectively. Decentralized fault-estimation unknown input observers and event-triggered distributed anti-DoS-attack fault-tolerant consensus controllers are devised in a co-designed framework, thus maintaining not only the tolerance and resilience of platoon consensus errors and estimation errors but also the secure vehicle avoidance spacing by virtue of attack frequency and average dwelling time indicators. Simulations and experiments validate the distributed control algorithm in the pernicious short-cycle and long-cycle DoS attack scenarios.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10540266,IEEE Transactions on Vehicular Technology,2024-01-01
"A Mechanism to Localize, Detect, and Prevent Jamming in Connected and Autonomous Vehicles (CAVs)","One of the challenges in Connected and Autonomous Vehicles (CAVs) and Vehicular Ad Hoc Networks (VANETs) is jamming attacks. These attacks present safety concerns and may render the whole communication network ineffective. Designing an anti-jamming solution for CAVs and VANETs is non-trivial because every jamming scenario presents itself with unique characteristics. In this paper, we extend our previous work in Alam (2021) by proposing a scheme that localizes jamming vehicles, maps the jammed area, and prevents the jamming vehicles from sending and/or receiving beacons in the network. To achieve these objectives, we apply Centroid Localization (CL), Graham Scan Hull Algorithm (GSHA), and bloom filter data structure. The novelties of our work are three-fold. 1) We dynamically change the X, Y positions and radii of the jamming vehicles. 2) We implement multiple jamming attack scenarios with multiple jammers and varying number of vehicles. 3) We prevent the jamming vehicles from sending messages in the network. Simulation results show that on average, our model achieves an accuracy of 97.77%, a precision of 99.14%, a recall of 93.54%, and an F1 score of 96.03% for all the attack scenarios implemented.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10260286,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
RELIABILITY ASSESSMENT OF UNMANNED AIRCRAFT COMBAT EFFECTIVENESS BASED ON IMPROVED ADC ANALYSIS METHOD,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216678223&origin=inward,IET Conference Proceedings,2024-01-01
Explainable Deep Adversarial Reinforcement Learning Approach for Robust Autonomous Driving,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188661587&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
"A Survey on Autonomous Driving Datasets: Statistics, Annotation Quality, and a Future Outlook",,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192208325&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
Combating Advanced Persistent Threats: Challenges and Solutions,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191309158&origin=inward,IEEE Network,2024-01-01
Reinforcement Learning-Based Cooperative Target Tracking Control of Unmanned Surface Vehicles Under Data Falsification Attacks,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192191278&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
CCID-CAN: Cross-Chain Intrusion Detection on CAN Bus for Autonomous Vehicles,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191304512&origin=inward,IEEE Internet of Things Journal,2024-01-01
Seeing is Believing: Detecting the Sybil Attacks in FANETs by Mapping Visual and Auditory Domains,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188528327&origin=inward,IEEE Transactions on Vehicular Technology,2024-01-01
Controller Design for Leader-Follower Systems With Hidden Markovian Jamming Attack,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188738118&origin=inward,IEEE Transactions on Automation Science and Engineering,2024-01-01
Boosting Visual Recognition in Real-world Degradations via Unsupervised Feature Enhancement Module with Deep Channel Prior,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192184308&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
PHY-Layer Authentication Exploiting Channel Sparsity in MmWave MIMO UAV-Ground Systems,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190169203&origin=inward,IEEE Transactions on Information Forensics and Security,2024-01-01
Predefined-Time Fuzzy Reinforcement Learning Control for Secure Surrounding Formation of NMSVs With DoS Attacks,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192174862&origin=inward,IEEE Transactions on Fuzzy Systems,2024-01-01
Design of Intelligent Control Under Machine Learning Supervision and Signal Compression Mechanism Design for NCSs Under DoS Attacks,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192185180&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Zero-X: A Blockchain-Enabled Open-Set Federated Learning Framework for Zero-Day Attack Detection in IoV,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190354655&origin=inward,IEEE Transactions on Vehicular Technology,2024-01-01
Distributed Secure Surrounding Control for Multiple USVs against Deception Attacks: A Stackelberg Game Approach with Reinforcement Learning,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85191326212&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
Secure Tracking Control via Fixed-Time Convergent Reinforcement Learning for a UAV CPS,"Dear Editor, This letter is concerned with the secure tracking control problem in the unmanned aerial vehicle (UAV) system by fixed-time convergent reinforcement learning (RL). By virtue of the zero-sum game, the false data injection (FDI) attacker and secure controller are viewed as game players. Then, the attack-defense process is recast as a min-max problem. For solving the problem and acquiring the optimal secure control policy, a single-critic RL algorithm with fixed-time convergence is presented. Meanwhile, the associated convergence and stability proofs are given. A simulation is provided to show the effectiveness of the raised method.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10555236,IEEE/CAA Journal of Automatica Sinica,2024-01-01
Progressive Critical Region Transfer for Cross-Domain Visual Object Detection,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85190168509&origin=inward,IEEE Transactions on Intelligent Transportation Systems,2024-01-01
Secure Estimation Using Partially Homomorphic Encryption for Unmanned Aerial Systems in the Presence of Eavesdroppers,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188713659&origin=inward,IEEE Transactions on Intelligent Vehicles,2024-01-01
Non-Intrusive Security Assessment Methods for Future Autonomous Transportation IoV,"The security of the Internet of Vehicles (IoV) has always been a concern. The constantly changing IoV data under varying traffic conditions made it unsuitable for the IoV to adopt traditional anti-attack techniques. In the absence of protections, attackers can use in-car communication as a target to compromise the safety of passengers, hence the instancy to detect the security state of the IoV. However, currently available solutions require modifications to the original hardware of the IoV and are therefore very limited in applicability. In this paper, we propose a security assessment method for IoV based on Microcontroller Unit (MCU) chip temperature, called SAMCT. Specifically, we first record the MCU chip temperatures of IoV device in different security states and analyze the relationship between them. Second, the fingerprint dataset is built using the temperature residuals. Third, to forecast the security standing of IoV devices, an integration regression model based on Self-Encoders is suggested. Lastly, in order to facilitate the effectiveness of the SAMCT, a Cloud-Edge-End framework is designed with the technology of model adaptive partitioning. Results from the experiments, which were carried out on the Raspberry Pi 4B and Stm32 hardware platforms, demonstrate that the Mean Squared Error (MSE) of the SAMCT is only 0.00104 and that the execution efficiency improvement under the Cloud-Edge-End framework is significant. Note to Practitioners—This paper was inspired by security concerns in Internet of Vehicles communication systems. The core of this work is to provide a novel security assessment method for IoV devices based on MCU temperature, which can detect the security status of IoV devices in real-time without modifying the original hardware. To this end, the different skills from scheme design to detection and validation are explained. One crucial part of this work is to regard the MCU temperature of the IoV device as a security reference and fully integrate the critical techniques in deep learning. In addition, the proposed scheme is universal and can be applied to various scenarios such as the autonomous driving and the industrial internet of things.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85173375040&origin=inward,IEEE Transactions on Automation Science and Engineering,2024-01-01
Lightweight Blockchain-Enabled Secure Data Sharing in Dynamic and Resource-Limited UAV Networks,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189609945&origin=inward,IEEE Network,2024-01-01
Using Cloning-GAN Architecture to Unlock the Secrets of Smart Manufacturing: Replication of Cognitive Models,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189830906&origin=inward,Procedia Computer Science,2024-01-01
