titles	abstract	URL	useful?
A Soft Aquatic Actuator for Unsteady Peak Power Amplification	A soft hydraulic actuator is presented which uses elastic energy storage for the purpose of pulsed-jet propulsion of soft unmanned underwater vehicles. The actuator consists of a flexible membrane that can be inflated using a micropump and whose elastic potential energy may be released on demand using a controllable valve, in a manner inspired by the swimming of squids and octopuses. It is shown that for equivalent initial elastic energy, the drop in peak thrust is linearly proportional to the decrease in nozzle cross section. Peak hydraulic power amplification of the soft actuator of approximately 75% is achieved with respect to that of the driving pump, confirming that passive elasticity can be exploited in aquatic propulsion to replicate the explosive motion skills of agile sea-dwelling creatures.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8477111	0
User-Centric View of Unmanned Aerial Vehicle Transmission Against Smart Attacks	Unmanned aerial vehicle (UAV) systems are vulnerable to smart attackers, who are selfish and subjective end-users and use smart radio devices to change their attack types and policies based on the ongoing UAV transmission and network states. In this paper, we apply prospect theory to formulate a subjective smart attack game for the UAV transmission, in which a smart attacker Eve makes subjective decisions to choose the attack type such as jamming, spoofing, and eavesdropping without knowing the attack detection accuracy of the UAV system, and the UAV transmit power on multiple radio channels is chosen to resist smart attacks. Reinforcement-learning-based UAV power allocation strategies are proposed to achieve the optimal power allocation against smart attacks without knowing the attack model and the channel model in the dynamic game. A deep Q-learning-based UAV power allocation strategy combines Q-learning and deep learning to accelerate the learning speed for the case with a large number of channel states and attack modes. Simulation results show that our proposed UAV power allocation strategy can suppress the attack motivation of subjective smart attackers and increase the secrecy capacity and the utility of the UAV system.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8231220	0
Hierarchical Control Design for a Shipboard Power System With DC Distribution and Energy Storage Aboard Future More-Electric Ships	DC distribution is now becoming the major trend of future mobile power systems, such as more-electric aircrafts and ships. As dc distribution has different nature to the conventional ac system, a new design of well-structured control and management methods will be mandatory. In this paper, a shipboard power system with dc distribution and energy storage system (ESS) is picked as the study case. To meet the requirement of control and management of such a large-scale mobile power system, a hierarchical control design is proposed in this paper. In order to fully exploit the benefit of the ESS, as well as to overcome the limitation in controllability, a novel inverse-droop control method is proposed, in which the power sharing is according to the source characteristic, instead of their power rating. A frequency-division method is also proposed as an extension to the inverse-droop method for enabling a hybrid ESS and its autonomous operation. On the basis of the proposed methods, the control methods for management and voltage restoration levels are also proposed to establish a comprehensive control solution. Real-time simulations are carried out to validate the performance of the proposed control design under different operating conditions. When compared to more conventional droop-based approaches, the new proposal shows enhancement in efficiency.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8103775	0
Drone Pilot Identification by Classifying Radio-Control Signals	Analysis of interactions with remotely controlled devices has been used to detect the onset of hijacking attacks, as well as for forensics analysis, e.g., to identify the human controller. Its effectiveness is known to depend on the remote device type as well as on the properties of the remote control signal. This paper shows that the radio control signal sent to an unmanned aerial vehicle (UAV) using a typical transmitter can be captured and analyzed to identify the controlling pilot using machine learning techniques. Twenty trained pilots have been asked to fly a high-end research drone through three different trajectories. Control data have been collected and used to train multiple classifiers. Best performance has been achieved by a random forest classifier that achieved accuracy around 90% using simple time-domain features. Extensive tests have shown that the classification accuracy depends on the flight trajectory and that the pitch, roll, yaw, and thrust control signals show different levels of significance for pilot identification. This result paves the way to a number of security and forensics applications, including continuous identification of UAV pilots to mitigate the risk of hijacking.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8323415	0
Capacity Analysis of UAV Communications: Cases of Random Trajectories	This paper analyzes the link capacity between autonomous unmanned aerial vehicles (UAVs) with random three-dimensional (3-D) trajectories. This is distinctively different from existing works typically under the assumption of either two-dimensional (2-D) or deterministic trajectories, and particularly interesting to applications such as surveillance and air combat. The key idea is that we geometrically derive the probability distributions of the UAV-to-UAV (U2U) distances which, by exploiting the Jensen's inequality, can be translated to the closed-form bounds for the capacity between UAVs, and between UAVs and ground stations. Another important aspect is that we extrapolate the idea to dense UAV networks, and analyze the impact of network densification, imperfect channel state information, and interference from ground transmitters on the capacity. Corroborated by simulations, our analysis shows that a U2U link with random 2-D trajectories is superior in terms of capacity due to its short average link distance. It is also revealed that a UAV-to-ground link can incur substantially lower capacity than a U2U link even in the case the 3-D coverage of the UAVs is the same, as the result of its longer average link length.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8345703	0
Fast Genetic Algorithm Path Planner for Fixed-Wing Military UAV Using GPU	Military unmanned aerial vehicles (UAVs) are employed in highly dynamic environments and must often adjust their trajectories based on the evolving situation. To operate autonomously and safely, a UAV must be equipped with a path planning module capable of quickly recalculating a feasible and quasi-optimal path in flight while in the event a new obstacle or threat has been detected or simply if the destination point is changed during the mission. To allow for a fast path planning, this paper proposes a parallel implementation of the genetic algorithm on graphics processing unit (GPU). The trajectories are built as series of line segments connected by circular arcs resulting in smooth paths suitable for fixed-wing UAVs. The fitness function we defined takes into account the dynamic constraints of the UAVs and aims to minimize fuel consumption and average flying altitude in order to improve range and avoid detection by enemy radars. This fitness function is also implemented on the GPU and different parallelization strategies were developed and tested for each step of the fitness evaluation. By exploiting the massively parallel architecture of GPUs, the execution time of the proposed path planner was reduced by a factor of 290x compared to a sequential execution on CPU. The path planning module developed was tested using 18 scenarios on six realistic three-dimensional terrains with multiple no-fly zones. We found that the proposed GPU-based path planner was able to find quasi-optimal solutions in a timely fashion allowing in-flight planning.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8294239	0
Vehicle Positioning in GNSS-Deprived Urban Areas by Stereo Visual-Inertial Odometry	Accurate and continuous positioning in global navigation satellite system (GNSS) deprived urban areas is crucial for autonomous vehicles and mobile mapping systems. To achieve this goal, we propose a stereo visual-inertial odometry approach using a multistate constraint Kalman filter (MSCKF). In contrast with the conventional MSCKF, in which an inertial navigation system (INS) propagates the vehicle motion, and then the propagation is corrected by measurements of salient features extracted from images of a single camera, we update the propagation with observations extracted from images of a stereo pair of cameras. This way, additional constraints across the stereo pairs of images are exploited to improve the pose estimation. Experimental results on several KITTI datasets show that the stereo MSCKF outperforms the mono one achieving an average positioning error of 0.9% of the trajectory length compared to 1.3% for the mono approach and 2.5% for INS-only integration. These results show that visual-inertial odometry has a promising potential for vehicle positioning in short periods of GNSS signal outage.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8286957	0
Long Short-Term Memory Networks for Accurate State-of-Charge Estimation of Li-ion Batteries	State of charge (SOC) estimation is critical to the safe and reliable operation of Li-ion battery packs, which nowadays are becoming increasingly used in electric vehicles (EVs), Hybrid EVs, unmanned aerial vehicles, and smart grid systems. We introduce a new method to perform accurate SOC estimation for Li-ion batteries using a recurrent neural network (RNN) with long short-term memory (LSTM). We showcase the LSTM-RNN's ability to encode dependencies in time and accurately estimate SOC without using any battery models, filters, or inference systems like Kalman filters. In addition, this machine-learning technique, like all others, is capable of generalizing the abstractions it learns during training to other datasets taken under different conditions. Therefore, we exploit this feature by training an LSTM-RNN model over datasets recorded at various ambient temperatures, leading to a single network that can properly estimate SOC at different ambient temperature conditions. The LSTM-RNN achieves a low mean absolute error (MAE) of 0.573% at a fixed ambient temperature and an MAE of 1.606% on a dataset with ambient temperature increasing from 10 to 25 °C.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8240689	0
WaterGAN: Unsupervised Generative Network to Enable Real-Time Color Correction of Monocular Underwater Images	This letter reports on WaterGAN, a generative adversarial network (GAN) for generating realistic underwater images from in-air image and depth pairings in an unsupervised pipeline used for color correction of monocular underwater images. Cameras onboard autonomous and remotely operated vehicles can capture high-resolution images to map the seafloor; however, underwater image formation is subject to the complex process of light propagation through the water column. The raw images retrieved are characteristically different than images taken in air due to effects, such as absorption and scattering, which cause attenuation of light at different rates for different wavelengths. While this physical process is well described theoretically, the model depends on many parameters intrinsic to the water column as well as the structure of the scene. These factors make recovery of these parameters difficult without simplifying assumptions or field calibration; hence, restoration of underwater images is a nontrivial problem. Deep learning has demonstrated great success in modeling complex nonlinear systems but requires a large amount of training data, which is difficult to compile in deep sea environments. Using WaterGAN, we generate a large training dataset of corresponding depth, in-air color images, and realistic underwater images. These data serve as input to a two-stage network for color correction of monocular underwater images. Our proposed pipeline is validated with testing on real data collected from both a pure water test tank and from underwater surveys collected in the field. Source code, sample datasets, and pretrained models are made publicly available.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7995024	0
Learning to Detect Aircraft for Long-Range Vision-Based Sense-and-Avoid Systems	The commercial use of unmanned aerial vehicles (UAVs) would be enhanced by an ability to sense and avoid potential mid-air collision threats. In this letter, we propose a new approach to aircraft detection for long-range vision-based sense and avoid. We first train a deep convolutional neural network to learn aircraft visual features using flight data of mid-air head-on near-collision course encounters between two fixed-wing aircraft. We then propose an approach that fuses these learnt aircraft features with hand-crafted features that are used by the current state of the art. Finally, we evaluate the performance of our proposed approach on real flight data captured from a UAV, where it achieves a mean detection range of 2527 m and a mean detection range improvement of 299 m (or 13.4%) compared to the current state of the art with no additional false alarms.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8447264	0
Multilabel Conditional Random Field Classification for UAV Images	In this letter, we formulate the multilabeling classification problem of unmanned aerial vehicle (UAV) imagery within a conditional random field (CRF) framework with the aim of exploiting simultaneously spatial contextual information and cross-correlation between labels. The pipeline of the framework consists of two main phases. First, the considered input UAV image is subdivided into a grid of tiles, which are processed thanks to an opportune representation and a multilayer perceptron classifier providing thus tile-wise multilabel prediction probabilities. In the second phase, a multilabel CRF model is applied to integrate spatial correlation between adjacent tiles and the correlation between labels within the same tile, with the objective to improve iteratively the multilabel classification map associated with the considered input UAV image. Experimental results achieved on two different UAV image data sets are reported and discussed.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8267483	0
Urban Traffic Density Estimation Based on Ultrahigh-Resolution UAV Video and Deep Neural Network	This paper presents an advanced urban traffic density estimation solution using the latest deep learning techniques to intelligently process ultrahigh-resolution traffic videos taken from an unmanned aerial vehicle (UAV). We first capture nearly an hour-long ultrahigh-resolution traffic video at five busy road intersections of a modern megacity by flying a UAV during the rush hours. We then randomly sampled over 17 K 512×512 pixel image patches from the video frames and manually annotated over 64 K vehicles to form a dataset for this paper, which will also be made available to the research community for research purposes. Our innovative urban traffics analysis solution consists of an advanced deep neural network (DNN) based vehicle detection and localization, type (car, bus, and truck) recognition, tracking, and vehicle counting over time. We will present extensive experimental results to demonstrate the effectiveness of our solution. We will show that our enhanced single shot multibox detector (Enhanced-SSD) outperforms other DNN-based techniques and that deep learning techniques are more effective than traditional computer vision techniques in traffic video analysis. We will also show that ultrahigh-resolution video provides more information that enables more accurate vehicle detection and recognition than lower resolution contents. This paper not only demonstrates the advantages of using the latest technological advancements (ultrahigh-resolution video and UAV), but also provides an advanced DNN-based solution for exploiting these technological advancements for urban traffic density estimation.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8536405	0
IEEE 802.11p and Visible Light Hybrid Communication Based Secure Autonomous Platoon	Autonomous vehicle platoon is an enhancement of autonomous behavior, where vehicles are organized into groups of close proximity through wireless communication. Platoon members mostly communicate with each other via the current dominant vehicular radio frequency (RF) technology, IEEE 802.11p. However, this technology leads security vulnerabilities under various attacks from adversaries. Visible light communication (VLC) has the potential to alleviate these vulnerabilities by exploiting the directivity and impermeability of light. Utilizing only VLC in vehicle platoon, on the other hand, may degrade platoon stability since VLC is sensitive to environmental effects. In this paper, we propose an IEEE 802.11p and VLC-based hybrid security protocol for platoon communication, namely SP-VLC, with the goal of ensuring platoon stability and securing platoon maneuvers under data packet injection, channel overhearing, jamming, and platoon maneuver attacks. We define platoon maneuver attack based on the identification of various scenarios where a fake maneuver packet is transmitted by a malicious actor. SP-VLC includes mechanisms for the secret key establishment, message authentication, data transmission over both IEEE 802.11p and VLC,jamming detection and reaction to switch to VLC only communication and secure platoon maneuvering based on the joint usage of IEEE 802.11p and VLC. We develop a simulation platform combining realistic vehicle mobility model, realistic VLC and IEEE 802.11p channel models, and vehicle platoon management. We show the functionality of the SP-VLC protocol under all possible security attacks by performing extensive simulations. Ourfindings demonstrate that SPVLC protocol generates less than 0.1% difference in the speed of and distance between platoon members during security attacks in comparison to 25% and 10% in that of previously proposed IEEE 802.11p and IEEE 802.11p-VLC hybrid protocols, respectively.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8365848	0
Obstacle avoidance method of three-dimensional obstacle spherical cap	Focusing on obstacle avoidance in three-dimensional space for unmanned aerial vehicle (UAV), the direct obstacle avoidance method in dynamic space based on three-dimensional velocity obstacle spherical cap is proposed, which quantifies the influence of threatening obstacles through velocity obstacle spherical cap parameters. In addition, the obstacle avoidance schemes of any point on the critical curve during the multi-obstacles avoidance are given. Through prediction, the insertion point for the obstacle avoidance can be obtained and the flight path can be re-planned. Taking the Pythagorean Hodograph (PH) curve trajectory re-planning as an example, the three-dimensional direct obstacle avoidance method in dynamic space is tested. Simulation results show that the proposed method can realize the online obstacle avoidance trajectory re-planning, which increases the flexibility of obstacle avoidance greatly.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8536788	0
Secure Automated Valet Parking: A Privacy-Preserving Reservation Scheme for Autonomous Vehicles	It is believed that automated valet parking (AVP) system has great potential to mitigate the parking headache for the future smart city, as it can provide on-demand parking services, bringing immense benefits from energy saving for vehicles to time saving for drivers. For an AVP system, parking reservation is an indispensable part so that vehicles can accomplish automated parking in accordance with the reserved parking information. However, the reservation requests may not only reveal the driver identity, but also disclose his/her sensitive locations, e.g., the most visited places, which are of great concerns to users. To deal with this challenge, the anonymous techniques can be naturally applied during parking reservation, but directly applying the anonymous techniques in AVP will introduce a new security issue, i.e., the anonymous user may maliciously crash the AVP system by repetitively sending the reservation requests, which is called “double-reservation attack.” In this paper, we propose a new privacy-preserving reservation scheme for securing AVP system. Specifically, each anonymous user must have only one valid reservation token at any moment, and the token can only be used for booking one vacant parking space once. The proposed scheme does not only preserve the user's identity privacy and location privacy but also prevents the “double-reservation attack” based on several elegant building blocks, i.e., zero-knowledge proofs of knowledge and proxy resignature. Detailed security analysis confirms the security properties of our proposed scheme. In addition, extensive simulations are conducted to compare our proposed scheme with three previous schemes, and the experiment results demonstrate that our scheme is also much efficient in a WiFi-based testbed.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8464286	0
A Point-to-Ray Framework for Generating Smooth Parallel Parking Maneuvers	The problem of generating smooth parallel parking maneuver for autonomous car-like vehicles is considered, wherein the vehicle moves forward from the starting point to an intermediate point and then traces a path backward to the parking position. Any error in accurately reaching the intermediate point leads to maneuver replanning and hence puts extra computational burden on the planner. Addressing the issue, this letter formulates the problem in a point-to-ray framework connecting the parking position to all points in a neighborhood of the intermediate point. Exploiting its asymptotic convergence, four parameter logistic (4PL) curve based S-shaped path is proposed as a solution with a single maneuver connecting the intermediate point neighborhood to the parking position. Inherent to the 4PL curve, the maneuver presents a continuous steering profile with zero steering angle at the ends. Parking slot collision avoidance and steering limit of the vehicle are satisfied by deducing closed-form analytic conditions on the two design parameters. Together with the robustness to intermediate point variation, comparison with existing approaches highlights computational and design advantages. The proposed approach is validated using a double-tracked Ackermann steering vehicle model.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8264750	0
Context-Based Filtering of Noisy Labels for Automatic Basemap Updating From UAV Data	Unmanned aerial vehicles (UAVs) have the potential to obtain high-resolution aerial imagery at frequent intervals, making them a valuable tool for urban planners who require up-to-date basemaps. Supervised classification methods can be exploited to translate the UAV data into such basemaps. However, these methods require labeled training samples, the collection of which may be complex and time consuming. Existing spatial datasets can be exploited to provide the training labels, but these often contain errors due to differences in the date or resolution of the dataset from which these outdated labels were obtained. In this paper, we propose an approach for updating basemaps using global and local contextual cues to automatically remove unreliable samples from the training set, and thereby, improve the classification accuracy. Using UAV datasets over Kigali, Rwanda, and Dar es Salaam, Tanzania, we demonstrate how the amount of mislabeled training samples can be reduced by 44.1% and 35.5%, respectively, leading to a classification accuracy of 92.1% in Kigali and 91.3% in Dar es Salaam. To achieve the same accuracy in Dar es Salaam, between 50000 and 60000 manually labeled image segments would be needed. This demonstrates that the proposed approach of using outdated spatial data to provide labels and iteratively removing unreliable samples is a viable method for obtaining high classification accuracies while reducing the costly step of acquiring labeled training samples.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8103751	0
UAV Relay in VANETs Against Smart Jamming With Reinforcement Learning	Frequency hopping-based antijamming techniques are not always applicable in vehicular ad hoc networks (VANETs) due to the high mobility of onboard units (OBUs) and the large-scale network topology. In this paper, we use unmanned aerial vehicles (UAVs) to relay the message of an OBU and improve the communication performance of VANETs against smart jammers that observe the ongoing OBU and UAV communication status and even induce the UAV to use a specific relay strategy and then attack it accordingly. More specifically, the UAV relays the OBU message to another roadside unit (RSU) with a better radio transmission condition if the serving RSU is heavily jammed or interfered. The interactions between a UAV and a smart jammer are formulated as an antijamming UAV relay game, in which the UAV decides whether or not to relay the OBU message to another RSU, and the jammer observes the UAV and the VANET strategy and chooses the jamming power accordingly. The Nash equilibria of the UAV relay game are derived to reveal how the optimal UAV relay strategy depends on the transmit cost and the UAV channel model. A hotbooting policy hill climbing-based UAV relay strategy is proposed to help the VANET resist jamming in the dynamic game without being aware of the VANET model and the jamming model. Simulation results show that the proposed relay strategy can efficiently reduce the bit error rate of the OBU message and thus increase the utility of the VANET compared with a Q-learning-based scheme.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8246580	0
Detection and Recognition of Traffic Planar Objects Using Colorized Laser Scan and Perspective Distortion Rectification	Reliable detection and recognition of planar objects including traffic sign, street sign, and road surface in dynamic cluttered natural scenes are a big challenge for self-driving cars. In this paper, we propose a comprehensive method for planar object detection and recognition. First, the data association of LIDAR and camera is set up to acquire colorized laser scans, which simultaneously contain both color and geometrical information. Second, we combine three color spaces of RGB, HSV, and CIE L*a*b* with laser reflectivity as an aggregation-based feature vector. Third, the 3-D geometrical characteristics of planar objects that contain planarity, size, and aspect ratio are exploited to further reduce false alarm. Fourth, in order to increase robustness to any viewpoint variation, we present a new virtual camera-based rectification method to synthesize fronto-parallel views of refined object descriptors in 3-D space. Finally, experimental results achieved under a variety of challenging conditions show that integration of color space aggregation and laser reflectivity is superior to individuals. Specifically, the proposed perspective distortion rectification method remarkably eliminates false recognition error by 45.5%. Overall, the detection rate of our comprehensive method has up to 95.87% and the recognition rate even reaches 95.07% for traffic signs ranging within 100 m, with about 33.25 ms average running time per frame.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8013749	0
Analyzing and Enhancing the Security of Ultrasonic Sensors for Autonomous Vehicles	Autonomous vehicles rely on sensors to measure road condition and make driving decisions, and their safety relies heavily on the reliability of these sensors. Out of all obstacle detection sensors, ultrasonic sensors have the largest market share and are expected to be increasingly installed on automobiles. Such sensors discover obstacles by emitting ultrasounds and analyzing their reflections. By exploiting the built-in vulnerabilities of sensors, we designed random spoofing, adaptive spoofing, and jamming attacks on ultrasonic sensors, and we managed to trick a vehicle to stop when it should keep moving, and let it fail to stop when it should. We validate our attacks on stand-alone sensors and moving vehicles, including a Tesla Model S with the “Autopilot” system. The results show that the attacks cause blindness and malfunction of not only sensors but also autonomous vehicles, which can lead to collisions. To enhance the security of ultrasonic sensors and autonomous vehicles, we propose two defense strategies, single-sensor-based physical shift authentication that verifies signals on the physical level, and multiple sensor consistency check that employs multiple sensors to verify signals on the system level. Our experiments on real sensors and MATLAB simulation reveal the validity of both schemes.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8451864	0
Lateral Control of an Autonomous Vehicle	The asymptotic stabilization problem for a class of nonlinear under-actuated systems is studied and solved. Its solution, together with the back-stepping and the forwarding control design methods, is exploited in the control of the nonlinear lateral dynamics of a vehicle. Even though the theoretical studies of the lateral control of autonomous vehicles are traditionally applied to lane keeping cases, the results can be applied to broader range of areas, such as lane changing cases. The comparison between the performances of the closed-loop systems with the given controller and a typical human driver is given and demonstrates the speediness and the effectiveness of the feedback controller.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8286943	0
A Consensus-Based Approach for Platooning with Intervehicular Communications and Its Validation in Realistic Scenarios	Automated and coordinated vehicles' driving (platooning) is very challenging due to the multibody control complexity and the presence of unreliable time-varying wireless intervehicular communication (IVC). We propose a novel controller for vehicle platooning based on consensus and analytically demonstrate its stability and dynamic properties. Traditional approaches assume the logical control topology as a constraint fixed a priori, and the control law is designed consequently; our approach makes the control topology a design parameter that can be exploited to reconfigure the controller, depending on the needs and characteristics of the scenario. Furthermore, the controller automatically compensates outdated information caused by network losses and delays. The controller is implemented in Plexe, which is a state-of-the-art IVC and mobility simulator that includes basic building blocks for platooning. Analysis and simulations show the controller robustness and performance in several scenarios, including realistic propagation conditions with interference caused by other vehicles. We compare our approach against a controller taken from the literature, which is generally considered among the most performing ones. Finally, we test the proposed controller by implementing the real dynamics (engine, transmission, braking systems, etc.) of heterogeneous vehicles in Plexe and verifying that platoons remain stable and safe, regardless of real-life impairments that cannot be modeled in the analytic solution. The results show the ability of the proposed approach to maintain a stable string of realistic vehicles with different control-communication topologies, even in the presence of strong interference, delays, and fading conditions, providing higher comfort and safety for platoon drivers.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7499858	0
A Deep Learning Approach to UAV Image Multilabeling	In this letter, we face the problem of multilabeling unmanned aerial vehicle (UAV) imagery, typically characterized by a high level of information content, by proposing a novel method based on convolutional neural networks. These are exploited as a means to yield a powerful description of the query image, which is analyzed after subdividing it into a grid of tiles. The multilabel classification task of each tile is performed by the combination of a radial basis function neural network and a multilabeling layer (ML) composed of customized thresholding operations. Experiments conducted on two different UAV image data sets demonstrate the promising capability of the proposed method compared to the state of the art, at the expense of a higher but still contained computation time.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7885056	0
A Semantic-Enabled Social Network of Devices for Building Automation	The progress of building automation devices and networks is curbed by application models with limited device autonomy, static configuration scenarios, and frequent explicit user interaction. This paper presents a novel approach inspired to social network interactions for increased object self-configuration and self-orchestration in home and building automation. Objects become autonomous social agents, interacting and coordinating automatically as new information about the environment is available. The framework is grounded on a service-oriented architecture for encapsulating, exchanging, and composing device capabilities and on semantic-based service description, discovery and aggregation exploiting nonstandard inference services. The proposed approach was implemented in two different testbeds and experimental evaluations of feasibility and performance were carried out with respect to a home automation case study.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7911227	0
Transforming a 3-D LiDAR Point Cloud Into a 2-D Dense Depth Map Through a Parameter Self-Adaptive Framework	The 3-D LiDAR scanner and the 2-D charge-coupled device (CCD) camera are two typical types of sensors for surrounding-environment perceiving in robotics or autonomous driving. Commonly, they are jointly used to improve perception accuracy by simultaneously recording the distances of surrounding objects, as well as the color and shape information. In this paper, we use the correspondence between a 3-D LiDAR scanner and a CCD camera to rearrange the captured LiDAR point cloud into a dense depth map, in which each 3-D point corresponds to a pixel at the same location in the RGB image. In this paper, we assume that the LiDAR scanner and the CCD camera are accurately calibrated and synchronized beforehand so that each 3-D LiDAR point cloud is aligned with its corresponding RGB image. Each frame of the LiDAR point cloud is then projected onto the RGB image plane to form a sparse depth map. Then, a self-adaptive method is proposed to upsample the sparse depth map into a dense depth map, in which the RGB image and the anisotropic diffusion tensor are exploited to guide upsampling by reinforcing the RGB-depth compactness. Finally, convex optimization is applied on the dense depth map for global enhancement. Experiments on the KITTI and Middlebury data sets demonstrate that the proposed method outperforms several other relevant state-of-the-art methods in terms of visual comparison and root-mean-square error measurement.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7482793	0
Integrated guidance and control design of the suicide UCAV for terminal attack	A novel integrated guidance and control (IGC) design method is proposed to solve problems of low control accuracy for a suicide unmanned combat aerial vehicle (UCAV) in the terminal attack stage. First of all, the IGC system model of the UCAV is built based on the three-channel independent design idea, which reduces the difsculties of designing the controller. Then, IGC control laws are designed using the trajectory linearization control (TLC). A nonlinear disturbance observer (NDO) is introduced to the IGC controller to reject various uncertainties, such as the aerodynamic parameter perturbation and the measurement error interference. The stability of the closed-loop system is proven by using the Lyapunov theorem. The performance of the proposed IGC design method is verised in a terminal attack mission of the suicide UCAV. Finally, simulation results demonstrate the superiority and effectiveness in the aspects of guidance accuracy and system robustness.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7978027	0
Introduction to the Special Issue on Applications and Systems for Collaborative Driving	Traffic safety and efficiency are major objectives for Intelligent Transportation Systems (ITS) [item 1) in the Appendix], [item 2) in the Appendix]. A lot of research has been done on autonomous vehicles and Advanced Driver Assistance Systems, which exploit a variety of sensors in order to support the driver and/or autonomous driving (e.g., [item 3) in the Appendix]–[item 7) in the Appendix]).	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8169724	0
Sensitivity Analysis for Building Energy Simulation Model Calibration via Algorithmic Differentiation	High-fidelity building energy simulation models are software tools that are built on the well-established physical laws of thermal/hygric processes to model heating, cooling, lighting, ventilation, and energy use of buildings. They are highly nonlinear systems that involve a large number of subroutine calls and submodel switches during execution. To calibrate a building energy simulation model with good quality, parameter sensitivity analysis is well advocated, since it aims to identify those parameters in a specific building that hold more influence on the building thermal performance than others to facilitate shortening the lengthy cycle of model calibration procedures. Since simulation models are given in a large piece of source codes and encapsulate a series of submodels, the prevailing sensitivity analysis is mostly built within the framework of Monte Carlo simulation and statistics-based random sampling methods. It is computationally intensive. We propose to perform such analysis via a differential sensitivity analysis method that relies on the estimation of derivatives. A key technical challenge is that the high nonlinearity of the model prohibits any analytical differentiation, while numerical differentiation is too sensitive to step size and suffers from a truncation error. We, hence, propose to adopt an algorithmic differentiation method, which exploits the operator overload feature of object-oriented programs, to obtain accurate and robust numerical estimations of derivatives in an automated and computationally efficient way.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7508978	0
Object Matching for Inter-Vehicle Communication Systems—An IMM-Based Track Association Approach With Sequential Multiple Hypothesis Test	Autonomous driving poses unique challenges for vehicle environment perception due to the complex driving environment where the autonomous vehicle interacts with surrounding traffic participants. Due to the limited capability of any sensor perception system, it is highly desirable that an autonomous driving vehicle could use not only information from onboard sensors (say, radar/camera/lidar) but also from remote (network) information via inter-vehicle communication systems. The collaborative information from cooperative/non-cooperative remote vehicles (along with the onboard sensor data) could substantially improve the vehicle decision making process and push autonomous driving to be safer and more reliable. Inter-vehicle communication technologies are at the stage of development for market introduction, after years of research and standardization. In this paper, we setup a dedicated short range communication (DSRC) system to provide a low-latency inter-vehicle wireless communication channel. The task is to build a record linkage between the onboard sensor data and the corresponding DSRC-transmitted remote vehicle information when both sets belong to the same object, for the purpose of enhancing host vehicle environment perceiving capability and reliability. This is a typical data association problem. The challenges mainly lie in the inherent uncertain nature of the observation data and the practical issues that information often suffers from delays and drops. We propose a track-based association approach using an interacting multiple model estimator with a sequential multiple hypothesis test (denoted as IMM-SMHT) as an ubiquitous solution to handle different situations in complicated driving scenarios. To fully exploit the potential of such a system, only position information (from the DSRC channel and onboard radar system) is used for the object matching purpose-we try to use the least amount of information to achieve a high association accuracy; additional information can be used but not currently considered. We aim to provide a real world solution, and therefore, a prototype vehicle system is built with practical consideration on market availability, cost, and sensor limitations. We design meaningful use cases for creating functionality modules from a systematic point of view. The inter-vehicle information fusion system based on the track fusion approach using the IMM-SMHT is tested in real traffic on the U.S. roads and shows promising object matching performance of significant practical feasibility.	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8039424	0
